timestamp,magx,magy,magz
88,-4681,2501,-3206
132,-4679,2535,-3178
176,-4685,2490,-3217
198,-4665,2513,-3184
220,-4664,2508,-3225
286,-4626,2484,-3144
330,-4647,2520,-3171
374,-4667,2496,-3251
484,-4684,2516,-3195
858,-4669,2497,-3276
924,-4699,2538,-3175
946,-4714,2492,-3241
968,-4696,2498,-3247
1012,-4640,2556,-3312
1034,-4699,2548,-3288
1056,-4686,2538,-3246
1166,-4699,2502,-3262
1188,-4674,2469,-3283
1254,-4715,2479,-3232
1276,-4623,2546,-3319
1320,-4664,2527,-3273
1364,-4703,2485,-3298
1408,-4666,2521,-3235
1452,-4694,2493,-3287
1474,-4653,2522,-3230
1541,-4658,2561,-3209
1563,-4696,2538,-3268
1585,-4692,2544,-3277
1607,-4689,2550,-3307
1629,-4678,2515,-3270
1651,-4664,2559,-3222
1717,-4685,2575,-3273
1739,-4680,2583,-3258
1783,-4665,2497,-3312
1937,-4646,2506,-3317
1959,-4705,2528,-3358
1981,-4671,2554,-3297
2003,-4706,2540,-3387
2047,-4675,2547,-3337
2069,-4688,2539,-3330
2091,-4677,2543,-3319
2157,-4675,2517,-3250
2179,-4709,2501,-3308
2201,-4730,2461,-3337
2289,-4641,2512,-3265
2311,-4684,2509,-3309
2333,-4670,2543,-3300
2355,-4683,2501,-3306
2399,-4680,2499,-3280
2509,-4731,2498,-3262
2597,-4687,2581,-3339
2619,-4644,2531,-3318
2641,-4672,2558,-3284
2729,-4651,2539,-3278
2773,-4631,2517,-3287
2796,-4683,2504,-3296
2817,-4651,2520,-3280
2839,-4639,2520,-3330
2905,-4611,2515,-3299
2949,-4667,2512,-3379
2971,-4621,2507,-3367
2993,-4650,2568,-3335
3015,-4633,2542,-3314
3037,-4637,2484,-3325
3059,-4649,2489,-3327
3191,-4634,2445,-3376
3213,-4651,2486,-3446
3257,-4644,2397,-3424
3279,-4650,2420,-3519
3323,-4665,2409,-3426
3411,-4587,2384,-3566
3433,-4590,2396,-3514
3455,-4538,2377,-3658
3477,-4599,2368,-3584
3499,-4573,2351,-3541
3521,-4549,2362,-3584
3543,-4589,2345,-3625
3565,-4548,2318,-3613
3587,-4520,2340,-3671
3609,-4509,2336,-3556
3631,-4521,2284,-3577
3675,-4495,2296,-3654
3697,-4490,2260,-3657
3741,-4470,2224,-3721
3763,-4441,2271,-3758
3807,-4403,2240,-3775
3851,-4344,2219,-3776
3873,-4360,2242,-3814
3917,-4352,2210,-3854
4005,-4326,2189,-3757
4027,-4268,2175,-3820
4071,-4296,2155,-3877
4093,-4285,2167,-3907
4115,-4234,2153,-3937
4159,-4223,2148,-3965
4181,-4160,2165,-3936
4203,-4123,2152,-3946
4225,-4119,2127,-3975
4247,-4156,2123,-4021
4269,-4107,2119,-4009
4291,-4121,2130,-4050
4379,-4017,2152,-4072
4401,-3964,2176,-4123
4489,-3846,2154,-4166
4511,-3830,2162,-4241
4555,-3803,2188,-4257
4599,-3796,2176,-4255
4665,-3703,2201,-4406
4731,-3595,2209,-4391
4885,-3296,2191,-4546
4907,-3317,2211,-4542
4995,-3128,2250,-4632
5039,-3142,2242,-4528
5105,-3096,2247,-4626
5149,-2996,2280,-4666
5171,-3012,2270,-4628
5237,-2898,2265,-4642
5325,-2814,2318,-4677
5347,-2773,2345,-4678
5369,-2769,2298,-4704
5391,-2740,2333,-4682
5413,-2699,2306,-4722
5435,-2682,2336,-4702
5457,-2643,2337,-4806
5479,-2623,2339,-4738
5545,-2550,2367,-4751
5567,-2498,2308,-4710
5589,-2501,2336,-4710
5633,-2429,2334,-4749
5655,-2425,2345,-4727
5699,-2375,2361,-4652
5721,-2378,2350,-4683
5743,-2339,2356,-4717
5765,-2298,2309,-4704
5831,-2251,2334,-4725
5897,-2210,2288,-4670
5919,-2153,2283,-4656
5985,-2140,2261,-4651
6029,-2137,2271,-4656
6051,-2041,2274,-4706
6073,-2069,2266,-4663
6117,-1949,2247,-4637
6139,-1969,2288,-4670
6183,-1915,2242,-4670
6205,-1923,2249,-4677
6249,-1902,2272,-4636
6337,-1762,2160,-4625
6403,-1739,2111,-4643
6425,-1697,2163,-4595
6447,-1698,2134,-4616
6535,-1628,2062,-4630
6579,-1568,2019,-4541
6645,-1528,1988,-4570
6667,-1482,1973,-4520
