timestamp,magx,magy,magz
1,-4391,2358,-3803
22,-4362,2352,-3784
44,-4403,2324,-3737
110,-4394,2289,-3797
132,-4387,2308,-3835
352,-4412,2342,-3739
397,-4380,2313,-3794
418,-4346,2312,-3784
441,-4365,2304,-3774
528,-4370,2355,-3807
594,-4307,2322,-3743
836,-4337,2333,-3799
902,-4428,2332,-3786
1012,-4385,2322,-3784
1056,-4388,2303,-3749
1078,-4418,2322,-3817
1100,-4383,2309,-3806
1210,-4388,2309,-3807
1233,-4345,2315,-3833
1254,-4369,2322,-3834
1276,-4396,2338,-3811
1298,-4398,2297,-3844
1320,-4425,2299,-3861
1342,-4361,2317,-3838
1474,-4380,2279,-3783
1562,-4333,2064,-3853
1585,-4334,2284,-3829
1628,-4311,2278,-3881
1694,-4252,2229,-3904
1716,-4246,2246,-3898
1760,-4238,2230,-3933
1848,-4159,2234,-4051
1870,-4152,2260,-4018
1892,-4110,2232,-4035
1914,-4069,2240,-4093
2002,-3961,2250,-4146
2134,-3777,2206,-4306
2156,-3715,2278,-4289
2178,-3684,2293,-4406
2420,-3362,2319,-4638
2464,-3293,2296,-4656
2486,-3248,2292,-4610
2706,-2793,2429,-4791
2728,-2750,2403,-4758
2992,-2232,2382,-4721
3014,-2231,2392,-4701
3036,-2200,2391,-4742
3102,-2069,2371,-4687
3124,-1990,2328,-4665
3146,-1924,2315,-4660
3169,-1895,2313,-4725
3212,-1818,2252,-4643
3257,-1758,2214,-4637
3366,-1608,2126,-4619
3388,-1532,2138,-4600
3432,-1451,2005,-4495
3564,-1217,1949,-4347
3608,-1170,1899,-4261
3674,-1118,1893,-4186
3696,-1100,1855,-4147
3850,-1031,1790,-3899
3894,-977,1756,-3864
3938,-968,1744,-3854
3982,-998,1682,-3778
4048,-1010,1695,-3688
4115,-1011,1663,-3625
4202,-1007,1684,-3496
4246,-1012,1645,-3500
4334,-1077,1620,-3382
4422,-1092,1628,-3407
4488,-1113,1632,-3384
4532,-1058,1590,-3422
4577,-1075,1633,-3437
4731,-927,1613,-3325
4796,-853,1623,-3292
4862,-735,1585,-3217
4950,-650,1635,-3095
4994,-585,1721,-3061
5016,-566,1700,-2985
5038,-571,1738,-2952
5148,-510,1875,-2653
5324,-674,2189,-2415
5346,-722,2148,-2426
5368,-766,2198,-2445
5434,-905,2289,-2454
5479,-982,2367,-2512
5676,-1081,2453,-2866
5698,-1060,2520,-2884
5742,-1011,2552,-2900
5808,-1008,2655,-3011
5875,-1020,2828,-3028
5897,-1000,2833,-3130
6072,-941,3098,-3133
6094,-929,3176,-3149
6116,-915,3218,-3169
6139,-938,3289,-3173
6182,-941,3334,-3144
6204,-972,3338,-3219
6293,-973,3503,-3306
6314,-965,3523,-3291
6358,-976,3598,-3319
6446,-1053,3765,-3351
6512,-1105,3868,-3421
6556,-1085,3923,-3534
6579,-1105,3934,-3494
6644,-1142,4037,-3580
6710,-1189,4073,-3589
6821,-1239,4213,-3714
6842,-1273,4231,-3739
6930,-1309,4322,-3992
7062,-1380,4418,-4128
7084,-1365,4451,-4166
7106,-1356,4437,-4189
7348,-1305,4557,-4494
7370,-1300,4573,-4517
7392,-1274,4594,-4510
7459,-1243,4533,-4599
7524,-1239,4555,-4683
7656,-1209,4614,-4807
7678,-1182,4622,-4784
7700,-1249,4588,-4748
7810,-1153,4642,-4825
7876,-1100,4610,-4854
8074,-1114,4577,-4905
8119,-1084,4526,-5014
8272,-1056,4469,-5003
8294,-984,4483,-5025
8624,-850,4381,-4960
8822,-815,4432,-4906
8845,-845,4454,-4976
8888,-806,4460,-4900
8976,-780,4453,-4966
8999,-860,4424,-4893
9021,-831,4428,-4878
9064,-851,4363,-4885
9131,-826,4469,-4914
9240,-781,4417,-4843
9351,-766,4461,-4675
9372,-763,4458,-4722
9439,-702,4506,-4671
9504,-657,4548,-4469
9614,-774,4652,-4317
9636,-751,4620,-4309
9702,-790,4705,-4165
9768,-827,4669,-4002
9812,-820,4700,-3999
9835,-858,4676,-3884
9856,-849,4721,-3833
9900,-925,4699,-3821
9967,-939,4727,-3681
10032,-1023,4771,-3682
