timestamp,magx,magy,magz
88,-4666,2505,-3192
132,-4663,2507,-3189
176,-4664,2505,-3197
198,-4666,2507,-3196
220,-4666,2506,-3204
286,-4669,2508,-3202
330,-4672,2508,-3205
374,-4674,2504,-3211
484,-4670,2510,-3220
858,-4673,2513,-3229
924,-4675,2516,-3231
946,-4681,2518,-3242
968,-4684,2513,-3252
1012,-4688,2512,-3250
1034,-4683,2514,-3261
1056,-4682,2517,-3261
1166,-4683,2512,-3272
1188,-4678,2515,-3272
1254,-4678,2514,-3275
1276,-4679,2511,-3268
1320,-4675,2513,-3261
1364,-4676,2513,-3263
1408,-4676,2516,-3264
1452,-4677,2524,-3266
1474,-4674,2527,-3270
1541,-4677,2528,-3261
1563,-4679,2533,-3261
1585,-4677,2541,-3257
1607,-4677,2539,-3264
1629,-4673,2540,-3267
1651,-4678,2541,-3279
1717,-4679,2540,-3287
1739,-4680,2541,-3298
1783,-4678,2541,-3303
1937,-4678,2540,-3305
1959,-4678,2542,-3310
1981,-4679,2539,-3312
2003,-4681,2532,-3315
2047,-4686,2521,-3322
2069,-4683,2522,-3318
2091,-4687,2522,-3317
2157,-4684,2524,-3312
2179,-4685,2519,-3313
2201,-4682,2515,-3303
2289,-4688,2511,-3296
2311,-4687,2515,-3297
2333,-4684,2513,-3297
2355,-4684,2517,-3300
2399,-4679,2521,-3298
2509,-4670,2526,-3293
2597,-4674,2525,-3296
2619,-4671,2526,-3293
2641,-4668,2524,-3296
2729,-4661,2525,-3295
2773,-4660,2526,-3304
2796,-4650,2527,-3314
2817,-4647,2526,-3313
2839,-4646,2527,-3313
2905,-4643,2520,-3317
2949,-4642,2516,-3321
2971,-4643,2509,-3329
2993,-4640,2508,-3343
3015,-4639,2496,-3356
3037,-4640,2487,-3373
3059,-4645,2478,-3385
3191,-4638,2466,-3402
3213,-4635,2456,-3415
3257,-4625,2439,-3445
3279,-4622,2423,-3469
3323,-4616,2411,-3489
3411,-4607,2399,-3512
3433,-4603,2390,-3535
3455,-4593,2375,-3550
3477,-4582,2370,-3572
3499,-4569,2362,-3576
3521,-4556,2351,-3589
3543,-4548,2343,-3597
3565,-4539,2330,-3610
3587,-4533,2316,-3616
3609,-4518,2307,-3632
3631,-4503,2297,-3653
3675,-4484,2284,-3671
3697,-4463,2275,-3688
3741,-4445,2265,-3710
3763,-4428,2251,-3718
3807,-4406,2237,-3742
3851,-4385,2225,-3769
3873,-4366,2213,-3792
3917,-4343,2204,-3817
4005,-4321,2197,-3840
4027,-4295,2187,-3856
4071,-4270,2179,-3871
4093,-4249,2171,-3889
4115,-4231,2160,-3908
4159,-4208,2152,-3922
4181,-4190,2146,-3949
4203,-4167,2144,-3972
4225,-4137,2146,-3994
4247,-4097,2145,-4018
4269,-4060,2146,-4045
4291,-4022,2149,-4072
4379,-3989,2150,-4101
4401,-3951,2155,-4143
4489,-3903,2162,-4181
4511,-3825,2168,-4228
4555,-3753,2177,-4277
4599,-3663,2188,-4330
4665,-3583,2196,-4371
4731,-3504,2202,-4417
4885,-3427,2214,-4462
4907,-3353,2224,-4497
4995,-3270,2231,-4532
5039,-3181,2244,-4571
5105,-3097,2257,-4596
5149,-3021,2265,-4624
5171,-2971,2278,-4636
5237,-2915,2286,-4653
5325,-2874,2294,-4659
5347,-2829,2303,-4684
5369,-2786,2311,-4695
5391,-2745,2319,-4702
5413,-2699,2322,-4710
5435,-2662,2329,-4716
5457,-2627,2330,-4722
5479,-2596,2330,-4727
5545,-2560,2336,-4722
5567,-2527,2338,-4722
5589,-2494,2342,-4722
5633,-2459,2340,-4722
5655,-2424,2339,-4715
5699,-2386,2335,-4708
5721,-2350,2327,-4700
5743,-2318,2323,-4694
5765,-2285,2317,-4690
5831,-2249,2312,-4686
5897,-2217,2304,-4680
5919,-2178,2294,-4678
5985,-2141,2288,-4677
6029,-2102,2278,-4673
6051,-2068,2273,-4671
6073,-2037,2267,-4662
6117,-1996,2255,-4658
6139,-1958,2240,-4657
6183,-1918,2231,-4652
6205,-1878,2218,-4648
6249,-1841,2199,-4642
6337,-1795,2177,-4630
